p_from_mw;q_from_mvar;p_to_mw;q_to_mvar
6.605693465133697;1.808520789678596;-6.597890381753989;-1.8265886513046166
6.4953170967235785;1.792875889304406;-6.490611106107762;-1.8042638904359087
6.490611106113976;1.8042638904245552;-6.481928160905718;-1.8277648308754961
6.1696355486047425;1.7324968904791536;-6.167581672187575;-1.7387967782843161
6.097514822272229;1.7158623969227673;-6.082568296240117;-1.7070442451491452
5.9506521545978455;1.663687366751054;-5.9426105312269195;-1.658955438874844
5.7935223709898445;1.6299365078794879;-5.770103574025618;-1.6161973862139676
5.497083034156079;1.5481305208195733;-5.479860956173872;-1.5380921068721076
5.063167801947486;1.420677110536267;-5.04926778708427;-1.412677277237512
4.944630651878033;1.3963055661004566;-4.935020172731857;-1.3907925338923786
4.876334962121576;1.3718292617207573;-4.856669659415076;-1.3605671732473748
4.770968505075889;1.3434861327283136;-4.748228998551356;-1.3304953320323587
4.311490628388342;1.190632347355681;-4.303552213401245;-1.186189813586704
4.272529508221349;1.175993580698678;-4.271176301840683;-1.1752374300379405
3.785728996850967;1.037814727410587;-3.777266727808924;-1.0332437334770475
3.4861784719185436;0.9375717586399981;-3.4736484697517067;-0.9309891145639431
2.4665485662546054;0.6963119923873274;-2.465896972125578;-0.6960337636786338
2.2858474512244396;0.6394455774473444;-2.283813726567486;-0.6386440335555094
2.2588120143810175;0.6304267206704133;-2.256179808372754;-0.6294016792296858
2.2474472683087003;0.6265315552684501;-2.2440349737944216;-0.6252066116947074
2.2244698996378496;0.6187761587914222;-2.222739136873047;-0.618110431933946
2.137490659157075;0.5900918153789544;-2.1364393612616515;-0.5897081159031592
1.9343444960607725;0.5251731664801409;-1.9329298042694067;-0.5247389738208351
1.8212695118279432;0.48863840281884036;-1.8212528188389479;-0.48880743040357727
1.3655693918875178;0.3390379618787013;-1.3655555805860853;-0.3392960175862504
1.3655555806423767;0.3392960175405998;-1.364781848911988;-0.35389876773229967
1.3647818485318481;0.3538987674444265;-1.3647815953019142;-0.3538985142144926
0.7728634249040673;0.16651292625757386;-0.7728633983402626;-0.16651289969376903
0.7728633994338223;0.16651289856579055;-0.7728633656627837;-0.1665128647947519
0.772863366323421;0.16651286578461139;-0.7724509785993259;-0.1913357738894867
0.7724509786805822;0.19133577381509267;-0.7724489734571336;-0.19145501446395333
0.7505113093359752;0.18424476262407263;-0.7505088273671694;-0.18440136031103488
0.7505088273712865;0.18440136029687365;-0.7504596983570639;-0.18749769498607854
0.5644112916775905;0.13285244877026942;-0.5642415682740308;-0.13339152086007192
0.537314475994746;0.12454139396949558;-0.537193873493594;-0.12497209780261215
0.4549948781196924;0.11190799708940706;-0.4549095671186475;-0.11235033813767151
0.25758644738023095;0.06146031616844469;-0.2575864440130505;-0.06146031280126418
0.18381300327231354;0.037213196688992055;-0.18381300164551254;-0.03721319506219105
0.18381300297958006;0.0372131942100105;-0.18380462680288112;-0.05304606146558284
0.18380462686861315;0.0530460614090133;-0.18380330240188292;-0.05441507895145371
0.18380330243591142;0.05441507892816146;-0.18378862466198578;-0.060405805956537946
0.31229261230942507;0.09526794038103324;-0.3122828222497416;-0.10263799492929934
0.0700668499458465;0.02293438134136652;-0.07006684300584833;-0.023028868968360934
0.07747940880532991;0.02546515571460059;-0.07747940856583124;-0.02546515547510191
0.05443673152315247;0.017891720570168294;-0.054436731292028084;-0.01789172033904392
0.11448515712268251;0.01764596195042917;-0.11448328138161487;-0.023804336310985916
0.04476666828619115;0.0008905773493593609;-0.04476602606118479;-0.014713249976174474
0.27302053987121183;0.0680668653924209;-0.2730130864211722;-0.06815852722130733
0.1890577687559606;0.04069623541493241;-0.18902967548574506;-0.041441343781307365
0.1295569073521648;0.021894428852048765;-0.12954270056178868;-0.02271763720797801
0.031016545958196348;-0.009664954076608036;-0.03101578332307947;-0.004030849380758743
0.014601877336130872;-0.0013639086106528452;-0.014601876959663246;0.0012495463096909851
0.014601876959733577;-0.0012495463472038417;-0.014601783231596159;-0.00043615658857485134
0.014601783237036533;0.00043615658345217583;-0.014601533043101867;-0.004799085999621927
0.014601533753386638;0.004799086478675868;-0.014601533739678922;-0.00479908646496815
0.08395531763708194;0.02746229179285358;-0.0839552942025073;-0.02759358587525731
0.09852615551150085;0.03238259053492205;-0.09852615511938854;-0.03238259014280977
0.4166931542347313;0.11741499632921543;-0.41668683562705033;-0.12296289737903321
0.41668683405616774;0.12296289625080123;-0.4166868246158711;-0.12296288681050455
0.3489334720986819;0.10069439187493148;-0.3489334672329133;-0.10069438700916294
0.34893346813523685;0.10069438817308515;-0.34892600005280405;-0.10166603615966273
0.3489260000595066;0.10166603615850049;-0.3489218173804636;-0.10220957776316832
0.2324462110580577;0.06392754093650337;-0.2324417636489469;-0.07639663364135554
0.10463713520914726;0.01637171113459461;-0.10462849753489158;-0.017125060592866247
3.020485688288275e-08;-0.01726317722451682;2.409054699968284e-11;-2.150308228961128e-11
0.0;0.0;0.0;0.0
0.05868521061304059;0.01896327216888687;-0.05868403127289242;-0.019264991777138876
0.05868403122575125;0.019264991864724457;-0.058684029298491966;-0.019287679920911384
0.02777334009937179;-0.001958094343811235;-0.027772815106143545;-0.009128090941918599
0.3227553039168071;0.10521929477432009;-0.32271191698095997;-0.10555284329598956
0.2765839077254781;0.09039195045200674;-0.27654878350152123;-0.09076507415644032
0.27654878350764645;0.09076507416243337;-0.276548515507241;-0.09089319904345095
0.11398306624891186;0.0346436898977131;-0.11398227728990029;-0.034760858051746286
0.035389153107567205;0.010932690521798544;-0.03538869826695072;-0.011631202952856228
0.035388696961395565;0.011631201140669237;-0.03538869688991599;-0.01163120106918967
0.07859312418754635;0.023828167527962397;-0.07859086605665767;-0.02453427095947544
0.0007844189712125341;0.0002578141810556986;-0.0007844189711773406;-0.0002578141810205052
0.07780644605698427;0.02427645595823158;-0.07779722543126656;-0.0255696137373251
0.4854473049918848;0.1374227026247169;-0.48539368454225934;-0.13759399927481406
0.33185087862489304;0.08712908585119869;-0.3318280929526995;-0.08729861310966981
4.2859412631822825e-10;-0.0029640215887820837;8.13751106556394e-12;0.0002541332563526172
-9.329192892972704e-12;-0.00025413326430870397;1.7586426550978704e-11;-2.0420452404555738e-13
0.06854225075378836;0.010625961839591405;-0.06854077838378181;-0.022527297771514153
0.15354280712903656;0.05046491173081041;-0.1535428061372447;-0.05046491073901856
0.26328584182555975;0.07963667281177364;-0.26325310857674555;-0.08652339803305623
0.8713419435397181;0.19005755476195596;-0.8711343199852645;-0.20013779681958394
0.43701150818437284;0.0676556874814621;-0.4370114975899287;-0.06765567688701805
0.4370114971490303;0.06765567605258299;-0.43686980194748737;-0.07889694432667092
0.4368698020252102;0.0788969442611859;-0.4368523236881279;-0.09212261627857032
0.4368523237669504;0.09212261621416153;-0.43683756314026356;-0.10316645005763327
0.12115091123252585;-0.0005902816245272373;-0.12115091051306484;0.000590282343988226
0.12115091113398097;-0.0005902802638872083;-0.12114987523872742;-0.009992147949957533
0.1211498753159202;0.009992147886662153;-0.12114851106776939;-0.023685018170806614
0.12114851111418101;0.02368501813195445;-0.1211475557643781;-0.02466244026587213
6.626713040455023e-08;-0.015155104832080202;-3.021676010907324e-10;0.004674134884131808
3.5101680193882503e-10;-0.004674134924314173;1.4009891768748707e-11;-1.3294549778916048e-11
0.0;0.0;0.0;0.0
0.07459859669003266;0.014317288729342566;-0.0745947227665085;-0.02451704693388141
0.0745947219119821;0.02451704479759597;-0.0745947216641143;-0.024517044549728154
0.12114749284850233;0.039817545555833826;-0.12114749222241075;-0.039817544929742245
0.18004952090714857;0.05658818622648036;-0.17996626568685054;-0.057922214299417664
0.03225309749742464;0.009507741041190877;-0.03225171828586394;-0.010600171901783476
0.03225171820067465;0.010600169562011333;-0.032251718151794645;-0.010600169513131332
0.14771316820429367;0.04841447326271567;-0.14771308510434644;-0.04854885831790785
0.20209486521135445;0.06453494941525365;-0.20208930571952144;-0.06642068992969147
0.11166029243577381;0.0361005710026253;-0.1116552716859745;-0.03656566883836768
0.11165527169883524;0.03656566882758461;-0.11165522394988006;-0.03669772140004212
0.5919181676123193;0.1873855874445576;-0.5919181505101115;-0.18738557034234987
0.591918152082801;0.18738557114692064;-0.591892651358958;-0.18989589729371148
0.29638083877382987;0.09277003190928002;-0.2963690446061792;-0.09740761437092099
0.29636904499919015;0.09740761438869827;-0.29636903999651515;-0.0974076093860233
0.1860484067201583;0.05464524618250978;-0.18603215982371485;-0.06114319014693333
0.18603215757504293;0.06114318964304948;-0.18603215539480572;-0.061143187462812214
0.02692709141613849;0.008850126560107453;-0.0269270913758305;-0.008850126519799464
0.08219899542364559;0.013064100672153526;-0.08219214146904957;-0.024722676212302765
0.0821921415202184;0.02472267616740544;-0.08219169312789995;-0.02701394292599929
0.08219169376658927;0.02701394370911027;-0.08219169337430543;-0.027013943316826407
0.04378217055635163;0.009055209246830266;-0.04378198214050938;-0.012568730609267094
0.043781982164116565;0.012568730594807596;-0.04378188139492579;-0.014389790754513744
9.45870695170123e-11;-0.0007575304730696317;4.127337124448674e-12;0.0003404009631511075
-8.705210278389731e-12;-0.00034040096145330557;1.373928317076215e-13;8.665664588452026e-12
0.15354094993148337;0.04259234449228323;-0.15353955837259992;-0.05046384514104559
0.034603003645487525;0.011372969289964209;-0.03460300358016608;-0.011372969224642763
