name,ov_hours,max_voltage,min_voltage
MV1,0,1.0,1.0
MV2,0,0.9999437453474762,0.9987445610323111
MV3,0,0.9999067149072912,0.9979744435567073
MV4,0,0.9998126025582255,0.9967037200299972
MV5,0,0.9997896728340303,0.9963896238472248
MV6,0,0.9998080741240166,0.9966727625382348
MV7,0,0.9996054365449174,0.9942021846280584
MV8,0,0.9997896625445921,0.996389542784708
MV9,0,0.9995051808626989,0.9929978943357481
MV10,0,0.9996054360833483,0.9942021813488843
MV11,0,0.999605436193664,0.9942021815202274
MV12,0,0.9992052951994214,0.9894041874390616
MV13,0,0.9995037877727089,0.9929835568669843
MV14,0,0.9995027894323961,0.9929734046961917
MV15,0,0.9995051805398669,0.9929978923952028
MV16,0,0.9992032610624367,0.9893819961506093
MV17,0,0.9992032268008958,0.9893817177299362
MV18,0,0.9991950494255427,0.989271295289371
MV19,0,0.9991908241812105,0.9891806692064091
MV20,0,0.9991908237030434,0.9891806651382498
MV21,0,0.9991918221161644,0.9891667756159729
MV22,0,0.9991918249846768,0.9891667595853587
MV23,0,0.9991912395144453,0.9891617332065237
MV24,0,0.9991895007635778,0.9891485024829421
MV25,0,0.9991895006374413,0.9891485015939481
MV26,0,0.9989725931278177,0.9866242500970931
MV27,0,0.9989719602988356,0.9866117864218334
MV28,0,0.9989719590601159,0.9866117693042652
MV29,0,0.9989719583761054,0.9866117594853713
MV30,0,0.9989706408451681,0.9865991465559191
MV31,0,0.9989698985507058,0.9865920854266609
MV32,0,0.9989692345193274,0.9865796475051056
MV33,0,0.99876644708845,0.9841529288376338
MV34,0,0.9987604634001644,0.9840852342953971
MV35,0,0.9987617750589795,0.9840865266814365
MV36,0,0.9987617750589795,0.9840865266814365
MV37,0,0.9986285961322606,0.982406488286787
MV38,0,0.9986264296902194,0.9823901545924094
MV39,0,0.9986264257102611,0.9823901248561314
MV40,0,0.9983448495703594,0.9787885052583375
MV41,0,0.9983437071143361,0.9787716489258892
MV42,0,0.9980057030441999,0.9745347958432901
MV43,0,0.9980049024215638,0.974528801863897
MV44,0,0.9978796328652259,0.972909017647788
MV45,0,0.9978582107470241,0.9726302926136183
MV46,0,0.9977260439194278,0.970660772423375
MV47,0,0.9975196919647896,0.9674397093882054
MV48,0,0.9975055233666185,0.9671959891060115
MV49,0,0.9975129509613805,0.9672511434341969
MV50,0,0.9975097978409102,0.9672214405618176
MV51,0,0.9975097975445198,0.9672214382377343
MV52,0,0.9975129525566806,0.967251126798234
MV53,0,0.997501626170578,0.9670382470845748
MV54,0,0.9975044505375262,0.9670081843177373
MV55,0,0.9975055228359717,0.9669818318750822
MV56,0,0.9975055238880517,0.9669818270484202
MV57,0,0.9975076061761339,0.9669745251941836
MV58,0,0.997508710523601,0.9669635356723915
MV59,0,0.9975080469561827,0.9669566680606103
MV60,0,0.9975094964547386,0.9669580731641232
MV61,0,0.9975096403132481,0.9669582126164351
MV62,0,0.9975096403132481,0.9669582126164351
MV63,0,0.9974687918597384,0.966845406675898
MV64,0,0.9974687437923054,0.9668449463768078
MV65,0,0.9974646160793846,0.9668091605446926
MV66,0,0.997464615897998,0.9668091590650469
MV67,0,0.997463060871549,0.9663689234910385
MV68,0,0.9974085069084572,0.9652864816982831
MV69,0,0.9973377808541288,0.9638769932837838
MV70,0,0.9973033220314627,0.9631564812371209
MV71,0,0.9972888557113508,0.9627022207205995
MV72,0,0.9972801040245063,0.9620225057899467
MV73,0,0.997280105673858,0.9620140312514982
MV74,0,0.9972804569020834,0.9620049158462353
MV75,0,0.9972889116354241,0.9615206428269197
MV76,0,0.9972889210368051,0.9615204620188622
MV77,0,0.9972889271560803,0.9615204278832545
MV78,0,0.9972889349356238,0.9615203844860489
MV79,0,0.9973393273907534,0.9610459943944099
MV80,0,0.9973396149723541,0.9610435654070665
MV81,0,0.9973400105844168,0.9610404662640333
MV82,0,0.9973477535844738,0.9609790933054333
MV83,0,0.9973953256386452,0.9606759242627838
MV84,0,0.9973953254518642,0.9606759229443887
MV85,0,0.9974338587422212,0.9604473132928197
MV86,0,0.9974715688821789,0.9602520219280549
MV87,0,0.9974716812809775,0.9602521301328173
MV88,0,0.9974716822326041,0.960252131048935
MV89,0,0.9974860416660847,0.9602362970554168
MV90,0,0.9974856034588122,0.960234507274942
MV91,0,0.9974710750221089,0.9602437245807277
MV92,0,0.9974715663767189,0.9602520112093154
MV93,0,0.9974715658794489,0.9602520024916515
MV94,0,0.9974670802631659,0.960206835958378
MV95,0,0.9974661355732519,0.9602004882930284
MV96,0,0.997455571246321,0.9601334475242963
MV97,0,0.9974281921464859,0.96037757991786
MV98,0,0.9974276953703846,0.9603726434112311
MV99,0,0.9974276948539501,0.960372638649658
MV100,0,0.9973461187186163,0.960921785452251
MV101,0,0.9973461183994824,0.96092177596676
MV102,0,0.9972889179229989,0.9615204346828871
MV103,0,0.9972847444916756,0.9614857746063833
MV104,0,0.9972801252961978,0.9614525643415339
MV105,0,0.997280122936445,0.961452547704361
MV106,0,0.9972840498521349,0.9626810898599056
MV107,0,0.9972707636721168,0.9619781811865914
MV108,0,0.9972706744547233,0.9619777602613624
MV109,0,0.9979943775099415,0.9744099124395614
MV110,0,0.9979851571783935,0.9742911693523018
MV111,0,0.9979850831939987,0.9742902208985126
MV112,0,0.9980018280750373,0.9745051521127087
MV113,0,0.9980018280682214,0.9745051520646288
MV114,0,0.997989180272914,0.974416430215825
MV115,0,0.9980029807599731,0.9745163894766288
MV116,0,0.9978434396364912,0.9725380904312716
MV117,0,0.9975080462305699,0.9669566627654402
MV118,0,0.9980029804307307,0.9745163874350292
MV119,0,0.9978366083117057,0.9724777962986153
MV120,0,0.997821786796396,0.9723764977392346
MV121,0,0.9978353966892354,0.9724580775863881
MV122,0,0.9978366675017153,0.9724778539843892
MV123,0,0.9978366680035251,0.9724778544734464
MV124,0,0.9978434381074843,0.9725380849029416
